Force,ID,Kind,Domain,Country,Category,Timestamp,Location_X,Location_Y,Location_Z
1,2,1,1,29,1,1384369964,-30001143,-55016076,0
1,2,1,1,29,1,1384379508,-30001141,-55016078,0
1,2,1,1,29,1,1384380105,-30001141,-55016078,0
1,3,1,1,29,1,1384389053,-30001143,-55016076,0
1,3,1,1,29,1,1384398597,-30001141,-55016078,0
1,1,1,1,29,1,1384399790,-30001143,-55016078,0
1,3,1,1,29,1,1384408141,-30001143,-55016078,0
1,3,1,1,29,1,1384417686,-30001141,-55016076,0
1,2,1,1,29,1,1384418282,-30001141,-55016078,0
1,4,1,1,29,1,1384427230,-30001143,-55016076,0
1,4,1,1,29,1,1384436774,-30001143,-55016076,0
1,2,1,1,29,1,1384446915,-30001141,-55016078,0
1,1,1,1,29,1,1384456460,-30001141,-55016076,0
1,3,1,1,29,1,1384466004,-30001143,-55016078,0
1,1,1,1,29,1,1384475548,-30001141,-55016078,0
1,3,1,1,29,1,1384485093,-30001141,-55016078,0
1,3,1,1,29,1,1384494637,-30001141,-55016076,0
1,1,1,1,29,1,1384503585,-30001143,-55016076,0
1,1,1,1,29,1,1384513726,-30001141,-55016078,0
1,2,1,1,29,1,1384522674,-30001141,-55016076,0
1,2,1,1,29,1,1384523270,-30001143,-55016076,0
1,2,1,1,29,1,1384532815,-30001141,-55016076,0
1,1,1,1,29,1,1384541763,-30001143,-55016078,0
1,3,1,1,29,1,1384551307,-30001141,-55016076,0
1,2,1,1,29,1,1384560851,-30001141,-55016076,0
1,3,1,1,29,1,1384561448,-30001141,-55016078,0
1,1,1,1,29,1,1384570396,-30001143,-55016076,0
1,4,1,1,29,1,1384570992,-30001141,-55016078,0
1,4,1,1,29,1,1384579940,-30001141,-55016078,0
1,4,1,1,29,1,1384589484,-30001143,-55016076,0
1,4,1,1,29,1,1384599625,-30001143,-55016078,0
1,1,1,1,29,1,1384599625,-30001141,-55016076,0
1,3,1,1,29,1,1384609170,-30001143,-55016076,0
1,3,1,1,29,1,1384609766,-30001143,-55016076,0
1,2,1,1,29,1,1384618714,-30001143,-55016076,0
1,4,1,1,29,1,1384619311,-30001141,-55016078,0
1,3,1,1,29,1,1384628258,-30001141,-55016076,0
1,1,1,1,29,1,1384637803,-30001143,-55016078,0
1,4,1,1,29,1,1384638399,-30001141,-55016076,0
1,4,1,1,29,1,1384647347,-30001141,-55016078,0
1,2,1,1,29,1,1384657488,-30001143,-55016078,0
1,1,1,1,29,1,1384658085,-30001141,-55016076,0
1,3,1,1,29,1,1384667032,-30001141,-55016076,0
1,3,1,1,29,1,1384676577,-30001141,-55016078,0
1,1,1,1,29,1,1384677173,-30001141,-55016076,0
1,4,1,1,29,1,1384686121,-30001141,-55016076,0
1,4,1,1,29,1,1384696262,-30001141,-55016076,0
1,2,1,1,29,1,1384705806,-30001143,-55016078,0
1,3,1,1,29,1,1384715351,-30001141,-55016076,0
1,3,1,1,29,1,1384715947,-30001141,-55016078,0
1,4,1,1,29,1,1384724895,-30001143,-55016078,0
1,1,1,1,29,1,1384725492,-30001143,-55016076,0
1,1,1,1,29,1,1384734440,-30001141,-55016078,0
1,1,1,1,29,1,1384735036,-30001143,-55016078,0
1,1,1,1,29,1,1384743984,-30001141,-55016078,0
1,4,1,1,29,1,1384744580,-30001143,-55016078,0
1,4,1,1,29,1,1384754125,-30001141,-55016076,0
1,2,1,1,29,1,1384763073,-30001141,-55016076,0
1,3,1,1,29,1,1384772617,-30001143,-55016076,0
1,4,1,1,29,1,1384773214,-30001143,-55016076,0
1,4,1,1,29,1,1384782161,-30001143,-55016076,0
